Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german
noteDadJoke15ITAVDesc,,,,,"What do you call a flesh eating bee? \n \n A zombee.",,"Wie nennt man eine fleischfressende Biene? \n \n Ein Zom-Bee."
noteDadJoke16ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke16ITAVDesc,,,,,"What did the rotting flesh say when it was put into Hobo stew? \n \n Ah, we meat again!",,"Was sagte das verwesende Fleisch, als es in den Hobo-Eintopf gegeben wurde? \n \n Ah, wir haben schon wieder Fleisch!"
noteDadJoke17ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke17ITAVDesc,,,,,"Whats a zombies favorite cheese? \n \n Zom-brie.",,"Was ist der Lieblingskäse eines Zombies? \n \n Zom-Brie."
noteDadJoke18ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke18ITAVDesc,,,,,"What branch of the military do zombies enlist in? \n \n The Marine Corpse.",,"In welcher Abteilung des Militärs melden sich Zombies an? \n \n Der Marine Corpse."
noteDadJoke19ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke19ITAVDesc,,,,,"What snacks do zombies take hiking? \n \n En-trails mix.",,"Welche Snacks nehmen Zombies beim Wandern zu sich? \n \n En-Trails Mix."
noteDadJoke20ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke20ITAVDesc,,,,,"Who are zombies favorite people? \n \n Brians",,"Wer sind die Lieblingsmenschen der Zombies? \n \n Brians"
noteDadJoke21ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke21ITAVDesc,,,,,"How much wood could a woodchuck chuck if a woodchuck could chuck wood? \n \n Forget that, where did you see a wood chuck? I haven't eaten in days.",,"Wie viel Holz könnte ein Murmeltier fressen, wenn ein Murmeltier Holz fressen könnte? \n \n Vergiss das, wo hast du ein Holzfutter gesehen? Ich habe seit Tagen nichts gegessen."
noteDadJoke22ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke22ITAVDesc,,,,,"Why'd the chicken cross the road? \n \n It was running from the moaning, dressed in grass, starving person chasing it with a wooden club.",,"Warum hat das Huhn die Straße überquert? \n \n Es rannte vor der stöhnenden, in Gras gekleideten, hungernden Person davon und jagte es mit einem Holzknüppel."
noteDadJoke23ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke23ITAVDesc,,,,,"Knock, knock. \n \n 'Who is there?' the survivor asks. But no one is there, just hallucinations from the fever as infection sets in.  \n \n She'll turn soon.",,"Klopf, klopf. \n \n 'Wer ist da?' fragt die Überlebende. Aber niemand ist da, nur Halluzinationen vom Fieber, wenn die Infektion einsetzt. \n \n Sie wird sich bald umdrehen."
noteDadJoke24ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke24ITAVDesc,,,,,"Why did the zombie have social anxiety? \n \n Once bit, twice shy.",,"Warum hatte der Zombie soziale Angst? \n \n Einmal gebissen, zweimal schüchtern."
noteDadJoke25ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke25ITAVDesc,,,,,"Why did no one go to the club? \n \n Dead inside.",,"Warum ist niemand in den Club gegangen? \n \n Innen tot."
noteDadJoke26ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke26ITAVDesc,,,,,"'Justice demands integrity.' -Bell Hooks. \n 'The only way we have been taught to heal is to hurt.' -Alok V Menon. \n 'Uhhhhhhhhhhhhhhgggggggnnnmmm.' -some zombie eating Steve from accounting. \n 'AHHHHHHHHH!' -Steve from accounting.",,"'Gerechtigkeit verlangt Integrität.' - Bell Hooks. \n 'Die einzige Art zu heilen, die uns beigebracht wurde, ist zu verletzen.' - Alok V Menon. \n 'Uhhhhhhhhhhhhhhhgggggggnnnmmm.' - ein Zombie, der Steve aus der Buchhaltung frisst. \n 'AHHHHHHHHH!' -Steve von der Buchhaltung."
noteDadJoke27ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke27ITAVDesc,,,,,"What does Socrates, Emily Brontë, a zombie, and Steve from accounting have in common? \n \n They are all dead.",,"Was haben Sokrates, Emily Brontë, ein Zombie, und Steve von der Buchhaltung gemeinsam? \n \n Sie sind alle tot."
noteDadJoke28ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke28ITAVDesc,,,,,"Remember, as terrible as today is, at least it's better than tomorrow.",,Denken Sie daran, so schrecklich der heutige Tag auch ist, er ist zumindest besser als morgen.
noteDadJoke29ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke29ITAVDesc,,,,,"Why did the zombie leave his husband? \n \n Finished eating him. \n \n Now to find the kids.",,"Warum hat der Zombie seinen Mann verlassen? \n \n Hat ihn fertig gefressen. \n \n Jetzt müssen wir die Kinder finden."
noteDadJoke30ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke30ITAVDesc,,,,,"Why did the zombie go to Shamways? \n \n Steve tripped over a bottle and made alot of noise. \n \n Dammit Steve.",,"Warum ist der Zombie nach Shamways gegangen? \n \und Steve ist über eine Flasche gestolpert und hat viel Lärm gemacht. \n \n Verdammt, Steve."
noteDadJoke31ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke31ITAVDesc,,,,,"They used to say the only things certain in life is death and taxes.  \n \n Surprise!",,"Früher hieß es, die einzigen sicheren Dinge im Leben seien der Tod und die Steuern. \n \n Überraschung!"
noteDadJoke32ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke32ITAVDesc,,,,,"How many zombies does it take to build a house? \n \n Depends on how you stack them. But honestly there are a lot better options.",,"Wie viele Zombies braucht man, um ein Haus zu bauen? \n \n Hängt davon ab, wie man sie stapelt. Aber ehrlich gesagt gibt es viel bessere Möglichkeiten."
noteDadJoke33ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke33ITAVDesc,,,,,"How do you eat an elephant? \n \n One bite at a time, just like that zombie ate Steve. I can still hear the screams, they keep me up at night.",,"Wie isst man einen Elefanten? \n \n Einen Bissen nach dem anderen, genau wie dieser Zombie Steve gefressen hat. Ich kann immer noch die Schreie hören, sie halten mich nachts wach."
noteDadJoke34ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke34ITAVDesc,,,,,"What turns on a Demolisher?  \n \n Not much, just gotta touch his heart from time to time.",,"Was macht einen Demolisher an? \n \n Nicht viel, ich muss nur von Zeit zu Zeit sein Herz berühren."
noteDadJoke35ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke35ITAVDesc,,,,,"What did the zombie get for showing up late to the party? \n \n The cold shoulder.",,"Was hat der Zombie dafür bekommen, dass er zu spät zur Party gekommen ist? \n \n Die kalte Schulter."
noteDadJoke36ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke36ITAVDesc,,,,,"This is a joke about construction.  \n \n I'm still working on it.",,"Das ist ein Bauwitz. \n \n Ich arbeite noch daran."
noteDadJoke37ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke37ITAVDesc,,,,,"I tell dad jokes, but I don't have any kids.  \n \n I'm a faux pa.",,"Ich erzähle Papa Witze, aber ich habe keine Kinder. \n \n Ich bin ein Fauxpas."
noteDadJoke38ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke38ITAVDesc,,,,,"Why did the picture go to jail? \n \n Because it was framed.",,"Warum kam das Bild ins Gefängnis? \n \n Weil es gerahmt war."
noteDadJoke39ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke39ITAVDesc,,,,,"The shovel was a ground-breaking invention.",,"Die Schaufel war eine bahnbrechende Erfindung."
noteDadJoke40ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke40ITAVDesc,,,,,"I bought some shoes from a drug dealer.  \n \n I don't know what he laced them with, but I was tripping all day!",,"Ich habe ein paar Schuhe von einem Drogendealer gekauft. \n \n Ich weiß nicht, womit er sie geschnürt hat, aber ich bin den ganzen Tag gestolpert!"
noteDadJoke41ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke41ITAVDesc,,,,,"I thought about going on an all-acorn diet.  \n \n But that's just nuts.",,"Ich habe darüber nachgedacht, eine reine Maisdiät zu machen. \und \n Aber das ist einfach verrückt."
noteDadJoke42ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke42ITAVDesc,,,,,"My friend keeps saying 'cheer up man it could be worse, you could be stuck underground in a hole full of water.'  \n \n I know she means well.",,"Mein Freund sagt immer wieder 'Kopf hoch Mann, es könnte schlimmer sein, du könntest in einem Loch voller Wasser unter der Erde stecken bleiben.' \n \n Ich weiß, dass sie es gut meint."
noteDadJoke43ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke43ITAVDesc,,,,,"I'm thinking about removing my spine.  \n \n I feel like it’s only holding me back.",,"Ich denke darüber nach, meine Wirbelsäule zu entfernen. \n \n Ich habe das Gefühl, dass sie mich nur zurückhält."
noteDadJoke44ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke44ITAVDesc,,,,,"Why couldn't the bicycle stand up by itself? \n \n It was two tired.",,"Warum konnte das Fahrrad nicht von alleine aufstehen? \n \n Es war zwei müde."
noteDadJoke45ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke45ITAVDesc,,,,,"I wouldn't buy anything with velcro.  \n \n It's a total rip-off.",,"Ich würde nichts mit Klettverschluss kaufen. \n \n Es ist eine totale Abzocke."
noteDadJoke46ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke46ITAVDesc,,,,,"Do you think glass coffins will be a success? \n \n Remains to be seen.",,"Glaubst du, Glassärge werden ein Erfolg? \n \n Bleibt abzuwarten."
noteDadJoke47ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke47ITAVDesc,,,,,"The mechanic was seen having snacks and some coffee in the garage. He must be on his brake!",,"Der Mechaniker wurde gesehen, wie er Snacks und Kaffee in der Garage hatte. Er muss auf der Bremse sein!"
noteDadJoke48ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke48ITAVDesc,,,,,"What was the name of the mechanic's favorite movie?  \n \n Lord of the Springs.",,"Wie hieß der Lieblingsfilm des Mechanikers? \und \n Lord of the Springs."
noteDadJoke49ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke49ITAVDesc,,,,,"Why is a robotics inventor never lonely? \n \n Because she's always making new friends.",,"Warum ist eine Robotik-Erfinderin nie einsam? \n \n Weil sie immer neue Freunde findet."
noteDadJoke50ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke50ITAVDesc,,,,,"Why did the pig dump her boyfriend? \n \n Because he was a real BOAR.",,"Warum hat das Schwein ihren Freund verlassen? \n \n Weil er ein echter EBER war."
noteDadJoke51ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke51ITAVDesc,,,,,"As a farmer, I hear lots of jokes about sheep. \n \n I'd tell them to my dog, but she'd herd them all.",,"Als Bauer höre ich viele Witze über Schafe. \n \n Ich würde sie meinem Hund erzählen, aber sie würde sie alle hüten."
noteDadJoke52ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke52ITAVDesc,,,,,"Why shouldn’t you tell a secret on a farm? \n \n Because the potatoes have eyes and the corn has ears.",,"Why shouldn’t you tell a secret on a farm? \n \n Because the potatoes have eyes and the corn has ears."
noteDadJoke53ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke53ITAVDesc,,,,,"What did the baby corn say to the mama corn? \n \n Where's popcorn?",,"Was hat der Babymais zu der Maismutter gesagt? \n \n Wo ist Popcorn?"
noteDadJoke54ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke54ITAVDesc,,,,,"What new crop did the farmer plant? \n \n Beets me.",,"Welche neue Feldfrucht hat der Bauer gepflanzt? \n \n Rüben für mich."
noteDadJoke55ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke55ITAVDesc,,,,,"No farm building should ever, under any circumstances, be used as a convent… \n \n Barn nun.",,"Kein Farmgebäude sollte unter keinen Umständen jemals als Kloster genutzt werden … \n \n Scheunennonne."
noteDadJoke56ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke56ITAVDesc,,,,,"What do you call a Demolisher deer? \n \n Bombi.",,"Wie nennt man einen Demolisher-Hirsch? \n \n Bombi."
noteDadJoke57ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke57ITAVDesc,,,,,"Why did the deer cross the road? \n \n To prove he wasn’t a chicken.",,"Warum hat das Reh die Straße überquert? \n \n Um zu beweisen, dass es kein Huhn war."
noteDadJoke58ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke58ITAVDesc,,,,,"If I would prefer mining for iron or lead? \n \n Either ore works!",,"Ob ich lieber Eisen oder Blei abbauen würde? \n \n Beides geht mit Erz!"
noteDadJoke59ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke59ITAVDesc,,,,,"Ever seen a blacksmith join two metal sheets? \n \n It's riveting",,"Schon mal einen Schmied gesehen, der zwei Bleche zusammenfügt? \n \n Es ist fesselnd"
